model,MAE,RMSE,R2,Spearman
season_xwOBA,0.08531507581235565,0.10993146659959262,-0.041941416551453115,0.18493056616753115
last_7d_xwOBA,0.10583010641892439,0.13495714942884013,-0.5703304438910195,0.11648022996042538
last_14d_xwOBA,0.09339480600711297,0.12011440533642359,-0.24391140137361278,0.15208804287954153
Ridge Regression,0.08231161242934144,0.10640817388577145,0.023776545426812068,0.18474494734311112
Random Forest,0.08283212985683466,0.10718845767710435,0.009406893696948915,0.17879275772716058
LightGBM,0.08384873588141067,0.10867198121443009,-0.018203128406499847,0.14644157852667752
