matchup_label,n_matchups,avg_matchup_PA,actual_matchup_xwOBA,actual_matchup_wOBA,avg_matchup_weakness_score
Favorable,2347,3.247550063911376,0.38518731632016523,0.379866267981415,-0.07162510209515485
Neutral,4119,3.2444768147608642,0.3143883997418749,0.31717300200002313,-0.000156133620931975
Unfavorable,1284,3.2313084112149535,0.250668590324637,0.25350207684319837,0.06546045150663965
